URLs,Reservations Open,Fully Booked,Available Hotels,Error Message
https://book.passkey.com/e/50850266,Yes,No,1,
https://book.passkey.com/event/50277359/owner/23044/home,No,,,
https://book.passkey.com/e/50845671,Yes,Yes,,
https://book.passkey.com/event/50819909/owner/684/home,Yes,Yes,,
https://book.passkey.com/event/50826719/owner/14106173/landing,Yes,Yes,,
https://book.passkey.com/event/50832911/owner/13181/home,No,,,
https://book.passkey.com/go/SCABDAE,Yes,No,1,
https://book.passkey.com/event/50472483/owner/49722822/home,Yes,No,1,
https://book.passkey.com/go/PSTMAttendee24,No,,,
https://book.passkey.com/go/PSTMAttendee24,No,,,
https://book.passkey.com/go/PSTMAttendee24,No,,,
https://book.passkey.com/go/PSTMAttendee24,No,,,
https://book.passkey.com/go/PSTMAttendee24,No,,,
https://book.passkey.com/go/TechSuperShowItExpo2024,No,,,
https://book.passkey.com/e/50866426,Yes,No,1,
https://book.passkey.com/event/50797632/owner/1322/home,Yes,Yes,,
https://book.passkey.com/event/50797632/owner/1322/home,Yes,Yes,,
https://book.passkey.com/gt/219674105?gtid=e3e5b0af93b120d8bfe786dd78d1b692,Yes,Yes,,
https://book.passkey.com/event/50741969/owner/68648/home,Yes,No,1,
https://book.passkey.com/e/50221974,No,,,
https://book.passkey.com/gt/220069819?gtid=4db17c791e49889efd7a6ccf7e408e05,Yes,No,1,
https://book.passkey.com/e/50725842,Yes,No,1,
https://book.passkey.com/go/ReliablePlant2025,Yes,No,1,
https://book.passkey.com/e/50575234,Yes,No,1,
https://book.passkey.com/gt/219240225?gtid=eb8ec51c22fc353daff13a99fe137244,No,,,
https://book.passkey.com/gt/219708785?gtid=647323b9368b4e6c28de31bcf12229e6,Yes,No,14,
https://book.passkey.com/go/NMMA25,Error,Error,Error,
https://book.passkey.com/e/50694484,Yes,No,27,
https://book.passkey.com/gt/219782777?gtid=a249c2ea47f3e6c69a476d1f781f8dfb,No,,,
https://book.passkey.com/e/50837382,Yes,Yes,,
https://book.passkey.com/e/50837382,Yes,Yes,,
https://book.passkey.com/event/50811322/owner/68648/home,Yes,No,1,
https://book.passkey.com/go/LuckyLeafExpo,Yes,No,1,
https://book.passkey.com/go/SPAPU5,Yes,No,2,
https://book.passkey.com/go/ICMI2024,Yes,No,2,
https://book.passkey.com/event/50823660/owner/5142/home,Yes,No,1,
https://book.passkey.com/go/NADP2024,No,,,
https://book.passkey.com/go/EnergyPropulsionAttendeeBlock,Yes,Yes,,
https://book.passkey.com/e/50872255,Yes,No,1,
https://book.passkey.com/go/DCTPE5,Yes,No,2,
https://book.passkey.com/go/side0625mb,Yes,No,1,
https://book.passkey.com/go/side0625mb,Yes,No,1,
https://book.passkey.com/go/side0625mb,Yes,No,1,
https://book.passkey.com/e/50792860,Yes,No,1,
https://book.passkey.com/gt/220107873?gtid=e62369ba9daa9c298b47fc05d01447c4,Yes,No,2,
https://book.passkey.com/e/50864819,Yes,No,16,
https://book.passkey.com/go/saabc1224mb,Yes,No,1,
https://book.passkey.com/e/50781661,Yes,No,1,
https://book.passkey.com/go/ABCKidsExpo,Yes,No,1,
https://book.passkey.com/go/XXXXXXXX,No,,,
https://book.passkey.com/e/50823630,Yes,No,1,
https://book.passkey.com/e/50823630,Yes,No,1,
